company_id,name,incorporation_date
COMP_0000,Shell Co 0000 Ltd,2023-07-23
COMP_0001,Shell Co 0001 Ltd,2023-11-07
COMP_0002,Shell Co 0002 Ltd,2023-06-24
COMP_0003,Shell Co 0003 Ltd,2023-01-20
COMP_0004,Shell Co 0004 Ltd,2023-07-09
COMP_0005,Shell Co 0005 Ltd,2023-08-17
COMP_0006,Shell Co 0006 Ltd,2023-04-19
COMP_0007,Shell Co 0007 Ltd,2023-06-25
COMP_0008,Shell Co 0008 Ltd,2023-07-17
COMP_0009,Shell Co 0009 Ltd,2023-09-28
COMP_0010,Shell Co 0010 Ltd,2023-10-31
COMP_0011,Shell Co 0011 Ltd,2023-04-04
COMP_0012,Shell Co 0012 Ltd,2023-01-30
COMP_0013,Shell Co 0013 Ltd,2023-06-21
COMP_0014,Shell Co 0014 Ltd,2023-07-23
COMP_0015,Shell Co 0015 Ltd,2023-01-19
COMP_0016,Shell Co 0016 Ltd,2023-11-02
COMP_0017,Shell Co 0017 Ltd,2023-04-01
COMP_0018,Shell Co 0018 Ltd,2023-10-04
COMP_0019,Shell Co 0019 Ltd,2023-03-09
COMP_0020,Shell Co 0020 Ltd,2023-06-08
COMP_0021,Shell Co 0021 Ltd,2023-09-19
COMP_0022,Shell Co 0022 Ltd,2023-04-07
COMP_0023,Shell Co 0023 Ltd,2023-10-11
COMP_0024,Shell Co 0024 Ltd,2023-03-14
COMP_0025,Shell Co 0025 Ltd,2023-10-08
COMP_0026,Shell Co 0026 Ltd,2023-02-26
COMP_0027,Shell Co 0027 Ltd,2023-08-20
COMP_0028,Shell Co 0028 Ltd,2023-06-15
COMP_0029,Shell Co 0029 Ltd,2023-08-06
COMP_0030,Shell Co 0030 Ltd,2023-02-01
COMP_0031,Shell Co 0031 Ltd,2023-05-10
COMP_0032,Shell Co 0032 Ltd,2023-10-31
COMP_0033,Shell Co 0033 Ltd,2023-03-17
COMP_0034,Shell Co 0034 Ltd,2023-12-02
COMP_0035,Shell Co 0035 Ltd,2023-12-13
COMP_0036,Shell Co 0036 Ltd,2023-06-25
COMP_0037,Shell Co 0037 Ltd,2023-07-17
COMP_0038,Shell Co 0038 Ltd,2023-11-12
COMP_0039,Shell Co 0039 Ltd,2023-09-16
COMP_0040,Shell Co 0040 Ltd,2023-02-04
COMP_0041,Shell Co 0041 Ltd,2023-04-23
COMP_0042,Shell Co 0042 Ltd,2023-01-11
COMP_0043,Shell Co 0043 Ltd,2023-12-24
COMP_0044,Shell Co 0044 Ltd,2023-03-01
COMP_0045,Shell Co 0045 Ltd,2023-02-21
COMP_0046,Shell Co 0046 Ltd,2023-05-14
COMP_0047,Shell Co 0047 Ltd,2023-05-06
COMP_0048,Shell Co 0048 Ltd,2023-02-10
COMP_0049,Shell Co 0049 Ltd,2023-06-11
COMP_0050,Shell Co 0050 Ltd,2023-06-29
COMP_0051,Shell Co 0051 Ltd,2023-09-20
COMP_0052,Shell Co 0052 Ltd,2023-01-20
COMP_0053,Shell Co 0053 Ltd,2023-08-08
COMP_0054,Shell Co 0054 Ltd,2023-10-25
COMP_0055,Shell Co 0055 Ltd,2023-05-09
COMP_0056,Shell Co 0056 Ltd,2023-04-30
COMP_0057,Shell Co 0057 Ltd,2023-06-17
COMP_0058,Shell Co 0058 Ltd,2023-10-02
COMP_0059,Shell Co 0059 Ltd,2023-11-15
COMP_0060,Shell Co 0060 Ltd,2023-03-08
COMP_0061,Shell Co 0061 Ltd,2023-10-20
COMP_0062,Shell Co 0062 Ltd,2023-11-05
COMP_0063,Shell Co 0063 Ltd,2023-02-14
COMP_0064,Shell Co 0064 Ltd,2023-11-01
COMP_0065,Shell Co 0065 Ltd,2023-01-15
COMP_0066,Shell Co 0066 Ltd,2023-06-23
COMP_0067,Shell Co 0067 Ltd,2023-11-13
COMP_0068,Shell Co 0068 Ltd,2023-10-01
COMP_0069,Shell Co 0069 Ltd,2023-03-28
COMP_0070,Shell Co 0070 Ltd,2023-03-13
COMP_0071,Shell Co 0071 Ltd,2023-09-30
COMP_0072,Shell Co 0072 Ltd,2023-07-30
COMP_0073,Shell Co 0073 Ltd,2023-02-09
COMP_0074,Shell Co 0074 Ltd,2023-06-03
COMP_0075,Shell Co 0075 Ltd,2023-07-02
COMP_0076,Shell Co 0076 Ltd,2023-08-05
COMP_0077,Shell Co 0077 Ltd,2023-09-24
COMP_0078,Shell Co 0078 Ltd,2023-08-04
COMP_0079,Shell Co 0079 Ltd,2023-08-16
COMP_0080,Shell Co 0080 Ltd,2023-03-26
COMP_0081,Shell Co 0081 Ltd,2023-01-29
COMP_0082,Shell Co 0082 Ltd,2023-05-21
COMP_0083,Shell Co 0083 Ltd,2023-06-12
COMP_0084,Shell Co 0084 Ltd,2023-08-25
COMP_0085,Shell Co 0085 Ltd,2023-08-28
COMP_0086,Shell Co 0086 Ltd,2023-05-21
COMP_0087,Shell Co 0087 Ltd,2023-06-20
COMP_0088,Shell Co 0088 Ltd,2023-07-23
COMP_0089,Shell Co 0089 Ltd,2023-12-21
COMP_0090,Shell Co 0090 Ltd,2023-11-11
COMP_0091,Shell Co 0091 Ltd,2023-08-03
COMP_0092,Shell Co 0092 Ltd,2023-01-09
COMP_0093,Shell Co 0093 Ltd,2023-11-03
COMP_0094,Shell Co 0094 Ltd,2023-05-20
COMP_0095,Shell Co 0095 Ltd,2023-12-16
COMP_0096,Shell Co 0096 Ltd,2023-01-16
COMP_0097,Shell Co 0097 Ltd,2023-12-28
COMP_0098,Shell Co 0098 Ltd,2023-03-09
COMP_0099,Shell Co 0099 Ltd,2023-09-19
COMP_0100,Shell Co 0100 Ltd,2023-03-02
COMP_0101,Shell Co 0101 Ltd,2023-08-08
COMP_0102,Shell Co 0102 Ltd,2023-09-01
COMP_0103,Shell Co 0103 Ltd,2023-02-23
COMP_0104,Shell Co 0104 Ltd,2023-03-28
COMP_0105,Shell Co 0105 Ltd,2023-07-24
COMP_0106,Shell Co 0106 Ltd,2023-02-07
COMP_0107,Shell Co 0107 Ltd,2023-03-02
COMP_0108,Shell Co 0108 Ltd,2023-08-18
COMP_0109,Shell Co 0109 Ltd,2023-09-13
COMP_0110,Shell Co 0110 Ltd,2023-07-26
COMP_0111,Shell Co 0111 Ltd,2023-03-01
COMP_0112,Shell Co 0112 Ltd,2023-03-10
COMP_0113,Shell Co 0113 Ltd,2023-12-16
COMP_0114,Shell Co 0114 Ltd,2023-08-23
COMP_0115,Shell Co 0115 Ltd,2023-03-11
COMP_0116,Shell Co 0116 Ltd,2023-06-16
COMP_0117,Shell Co 0117 Ltd,2023-04-13
COMP_0118,Shell Co 0118 Ltd,2023-05-27
COMP_0119,Shell Co 0119 Ltd,2023-05-26
COMP_0120,Shell Co 0120 Ltd,2023-08-07
COMP_0121,Shell Co 0121 Ltd,2023-11-12
COMP_0122,Shell Co 0122 Ltd,2023-02-01
COMP_0123,Shell Co 0123 Ltd,2023-01-06
COMP_0124,Shell Co 0124 Ltd,2023-09-29
COMP_0125,Shell Co 0125 Ltd,2023-09-24
COMP_0126,Shell Co 0126 Ltd,2023-08-03
COMP_0127,Shell Co 0127 Ltd,2023-10-26
COMP_0128,Shell Co 0128 Ltd,2023-03-14
COMP_0129,Shell Co 0129 Ltd,2023-10-08
COMP_0130,Shell Co 0130 Ltd,2023-03-05
COMP_0131,Shell Co 0131 Ltd,2023-07-28
COMP_0132,Shell Co 0132 Ltd,2023-04-23
COMP_0133,Shell Co 0133 Ltd,2023-12-12
COMP_0134,Shell Co 0134 Ltd,2023-04-12
COMP_0135,Shell Co 0135 Ltd,2023-05-09
COMP_0136,Shell Co 0136 Ltd,2023-05-12
COMP_0137,Shell Co 0137 Ltd,2023-06-16
COMP_0138,Shell Co 0138 Ltd,2023-05-29
COMP_0139,Shell Co 0139 Ltd,2023-09-29
COMP_0140,Shell Co 0140 Ltd,2023-09-27
COMP_0141,Shell Co 0141 Ltd,2023-06-23
COMP_0142,Shell Co 0142 Ltd,2023-09-23
COMP_0143,Shell Co 0143 Ltd,2023-04-30
COMP_0144,Shell Co 0144 Ltd,2023-02-20
COMP_0145,Shell Co 0145 Ltd,2023-09-25
COMP_0146,Shell Co 0146 Ltd,2023-05-14
COMP_0147,Shell Co 0147 Ltd,2023-08-16
COMP_0148,Shell Co 0148 Ltd,2023-03-12
COMP_0149,Shell Co 0149 Ltd,2023-04-26
COMP_0150,Shell Co 0150 Ltd,2023-12-07
COMP_0151,Shell Co 0151 Ltd,2023-04-03
COMP_0152,Shell Co 0152 Ltd,2023-08-14
COMP_0153,Shell Co 0153 Ltd,2023-01-31
COMP_0154,Shell Co 0154 Ltd,2023-11-07
COMP_0155,Shell Co 0155 Ltd,2023-11-28
COMP_0156,Shell Co 0156 Ltd,2023-11-03
COMP_0157,Shell Co 0157 Ltd,2023-07-15
COMP_0158,Shell Co 0158 Ltd,2023-09-10
COMP_0159,Shell Co 0159 Ltd,2023-10-16
COMP_0160,Shell Co 0160 Ltd,2023-01-06
COMP_0161,Shell Co 0161 Ltd,2023-12-31
COMP_0162,Shell Co 0162 Ltd,2023-07-25
COMP_0163,Shell Co 0163 Ltd,2023-02-03
COMP_0164,Shell Co 0164 Ltd,2023-03-16
COMP_0165,Shell Co 0165 Ltd,2023-11-29
COMP_0166,Shell Co 0166 Ltd,2023-05-16
COMP_0167,Shell Co 0167 Ltd,2023-02-19
COMP_0168,Shell Co 0168 Ltd,2023-09-24
COMP_0169,Shell Co 0169 Ltd,2023-03-03
COMP_0170,Shell Co 0170 Ltd,2023-10-17
COMP_0171,Shell Co 0171 Ltd,2023-07-04
COMP_0172,Shell Co 0172 Ltd,2023-05-30
COMP_0173,Shell Co 0173 Ltd,2023-01-05
COMP_0174,Shell Co 0174 Ltd,2023-10-16
COMP_0175,Shell Co 0175 Ltd,2023-07-17
COMP_0176,Shell Co 0176 Ltd,2023-12-09
COMP_0177,Shell Co 0177 Ltd,2023-02-02
COMP_0178,Shell Co 0178 Ltd,2023-12-07
COMP_0179,Shell Co 0179 Ltd,2023-06-02
COMP_0180,Shell Co 0180 Ltd,2023-02-22
COMP_0181,Shell Co 0181 Ltd,2023-07-09
COMP_0182,Shell Co 0182 Ltd,2023-02-25
COMP_0183,Shell Co 0183 Ltd,2023-02-05
COMP_0184,Shell Co 0184 Ltd,2023-10-03
COMP_0185,Shell Co 0185 Ltd,2023-02-27
COMP_0186,Shell Co 0186 Ltd,2023-03-16
COMP_0187,Shell Co 0187 Ltd,2023-03-10
COMP_0188,Shell Co 0188 Ltd,2023-02-06
COMP_0189,Shell Co 0189 Ltd,2023-07-05
COMP_0190,Shell Co 0190 Ltd,2023-11-02
COMP_0191,Shell Co 0191 Ltd,2023-04-10
COMP_0192,Shell Co 0192 Ltd,2023-01-24
COMP_0193,Shell Co 0193 Ltd,2023-04-18
COMP_0194,Shell Co 0194 Ltd,2023-01-24
COMP_0195,Shell Co 0195 Ltd,2023-09-01
COMP_0196,Shell Co 0196 Ltd,2023-12-22
COMP_0197,Shell Co 0197 Ltd,2023-03-05
COMP_0198,Shell Co 0198 Ltd,2023-09-22
COMP_0199,Shell Co 0199 Ltd,2023-04-20
COMP_0200,Shell Co 0200 Ltd,2023-12-20
COMP_0201,Shell Co 0201 Ltd,2023-03-07
COMP_0202,Shell Co 0202 Ltd,2023-03-10
COMP_0203,Shell Co 0203 Ltd,2023-03-20
COMP_0204,Shell Co 0204 Ltd,2023-09-15
COMP_0205,Shell Co 0205 Ltd,2023-08-07
COMP_0206,Shell Co 0206 Ltd,2023-11-13
COMP_0207,Shell Co 0207 Ltd,2023-03-25
COMP_0208,Shell Co 0208 Ltd,2023-09-26
COMP_0209,Shell Co 0209 Ltd,2023-07-02
COMP_0210,Shell Co 0210 Ltd,2023-01-25
COMP_0211,Shell Co 0211 Ltd,2023-12-03
COMP_0212,Shell Co 0212 Ltd,2023-02-28
COMP_0213,Shell Co 0213 Ltd,2023-08-20
COMP_0214,Shell Co 0214 Ltd,2023-02-08
COMP_0215,Shell Co 0215 Ltd,2023-05-20
COMP_0216,Shell Co 0216 Ltd,2023-10-15
COMP_0217,Shell Co 0217 Ltd,2023-04-20
COMP_0218,Shell Co 0218 Ltd,2023-02-09
COMP_0219,Shell Co 0219 Ltd,2023-10-11
COMP_0220,Shell Co 0220 Ltd,2023-12-10
COMP_0221,Shell Co 0221 Ltd,2023-12-16
COMP_0222,Shell Co 0222 Ltd,2023-08-24
COMP_0223,Shell Co 0223 Ltd,2023-12-24
COMP_0224,Shell Co 0224 Ltd,2023-09-04
COMP_0225,Shell Co 0225 Ltd,2023-05-09
COMP_0226,Shell Co 0226 Ltd,2023-03-22
COMP_0227,Shell Co 0227 Ltd,2023-11-16
COMP_0228,Shell Co 0228 Ltd,2023-06-15
COMP_0229,Shell Co 0229 Ltd,2023-05-24
COMP_0230,Shell Co 0230 Ltd,2023-07-29
COMP_0231,Shell Co 0231 Ltd,2023-10-16
COMP_0232,Shell Co 0232 Ltd,2023-08-26
COMP_0233,Shell Co 0233 Ltd,2023-09-22
COMP_0234,Shell Co 0234 Ltd,2023-10-29
COMP_0235,Shell Co 0235 Ltd,2023-01-19
COMP_0236,Shell Co 0236 Ltd,2024-01-01
COMP_0237,Shell Co 0237 Ltd,2023-05-25
COMP_0238,Shell Co 0238 Ltd,2023-09-23
COMP_0239,Shell Co 0239 Ltd,2023-11-04
COMP_0240,Shell Co 0240 Ltd,2023-05-10
COMP_0241,Shell Co 0241 Ltd,2023-04-02
COMP_0242,Shell Co 0242 Ltd,2023-01-16
COMP_0243,Shell Co 0243 Ltd,2023-02-22
COMP_0244,Shell Co 0244 Ltd,2023-05-15
COMP_0245,Shell Co 0245 Ltd,2023-05-28
COMP_0246,Shell Co 0246 Ltd,2023-05-25
COMP_0247,Shell Co 0247 Ltd,2023-03-30
COMP_0248,Shell Co 0248 Ltd,2023-08-05
COMP_0249,Shell Co 0249 Ltd,2023-11-15
COMP_0250,Shell Co 0250 Ltd,2023-01-29
COMP_0251,Shell Co 0251 Ltd,2023-05-14
COMP_0252,Shell Co 0252 Ltd,2023-02-18
COMP_0253,Shell Co 0253 Ltd,2023-05-09
COMP_0254,Shell Co 0254 Ltd,2023-08-22
COMP_0255,Shell Co 0255 Ltd,2023-10-21
COMP_0256,Shell Co 0256 Ltd,2023-10-07
COMP_0257,Shell Co 0257 Ltd,2023-07-06
COMP_0258,Shell Co 0258 Ltd,2023-10-29
COMP_0259,Shell Co 0259 Ltd,2023-01-30
COMP_0260,Shell Co 0260 Ltd,2023-08-10
COMP_0261,Shell Co 0261 Ltd,2023-10-29
COMP_0262,Shell Co 0262 Ltd,2023-12-18
COMP_0263,Shell Co 0263 Ltd,2023-03-04
COMP_0264,Shell Co 0264 Ltd,2023-09-06
COMP_0265,Shell Co 0265 Ltd,2023-10-22
COMP_0266,Shell Co 0266 Ltd,2023-09-12
COMP_0267,Shell Co 0267 Ltd,2023-08-10
COMP_0268,Shell Co 0268 Ltd,2023-06-07
COMP_0269,Shell Co 0269 Ltd,2023-09-29
COMP_0270,Shell Co 0270 Ltd,2023-02-18
COMP_0271,Shell Co 0271 Ltd,2023-11-19
COMP_0272,Shell Co 0272 Ltd,2023-07-11
COMP_0273,Shell Co 0273 Ltd,2023-06-14
COMP_0274,Shell Co 0274 Ltd,2023-05-08
COMP_0275,Shell Co 0275 Ltd,2023-05-30
COMP_0276,Shell Co 0276 Ltd,2023-05-11
COMP_0277,Shell Co 0277 Ltd,2023-02-03
COMP_0278,Shell Co 0278 Ltd,2023-01-05
COMP_0279,Shell Co 0279 Ltd,2023-01-08
COMP_0280,Shell Co 0280 Ltd,2023-05-24
COMP_0281,Shell Co 0281 Ltd,2023-02-04
COMP_0282,Shell Co 0282 Ltd,2023-09-08
COMP_0283,Shell Co 0283 Ltd,2023-06-18
COMP_0284,Shell Co 0284 Ltd,2023-05-28
COMP_0285,Shell Co 0285 Ltd,2023-04-15
COMP_0286,Shell Co 0286 Ltd,2023-11-01
COMP_0287,Shell Co 0287 Ltd,2023-08-29
COMP_0288,Shell Co 0288 Ltd,2023-10-25
COMP_0289,Shell Co 0289 Ltd,2023-10-09
COMP_0290,Shell Co 0290 Ltd,2023-08-08
COMP_0291,Shell Co 0291 Ltd,2023-06-04
